DateTime,TUM_in,SLI_in,DAN_in,TUM_m,SLI_m,DAN_m
11/1/2019,-1,0,0,-0.0254,0,0
11/2/2019,0,0,0,0,0,0
11/3/2019,0,0,,0,0,
11/4/2019,1,0,0,0.0254,0,0
11/5/2019,1,0,0,0.0254,0,0
11/6/2019,0,0,0,0,0,0
11/7/2019,1,0,,0.0254,0,
11/8/2019,1,1,0,0.0254,0.0254,0
11/9/2019,1,0,0,0.0254,0,0
11/10/2019,0,0,0,0,0,0
11/11/2019,1,0,0,0.0254,0,0
11/12/2019,0,0,,0,0,
11/13/2019,1,0,0,0.0254,0,0
11/14/2019,1,0,0,0.0254,0,0
11/15/2019,0,0,0,0,0,0
11/16/2019,0,1,0,0,0.0254,0
11/17/2019,-1,0,0,-0.0254,0,0
11/18/2019,-1,0,,-0.0254,0,
11/19/2019,-1,0,0,-0.0254,0,0
11/20/2019,-1,0,0,-0.0254,0,0
11/21/2019,1,0,0,0.0254,0,0
11/22/2019,0,0,0,0,0,0
11/23/2019,0,0,0,0,0,0
11/24/2019,1,0,0,0.0254,0,0
11/25/2019,0,0,0,0,0,0
11/26/2019,0,0,-2,0,0,-0.0508
11/27/2019,118,,0,2.9972,,0
11/28/2019,118,,,2.9972,,
11/29/2019,118,22,0,2.9972,0.5588,0
11/30/2019,17,,,0.4318,,
12/1/2019,118,,,2.9972,,
12/2/2019,31,38,,0.7874,0.9652,
12/3/2019,27,33,,0.6858,0.8382,
12/4/2019,25,,,0.635,,
12/5/2019,26,,,0.6604,,
12/6/2019,25,,,0.635,,
12/7/2019,118,,,2.9972,,
12/8/2019,118,,,2.9972,,
12/9/2019,31,37,,0.7874,0.9398,
12/10/2019,30,,,0.762,,
12/11/2019,28,155,,0.7112,3.937,
12/12/2019,29,35,,0.7366,0.889,
12/13/2019,27,33,,0.6858,0.8382,
12/14/2019,29,39,,0.7366,0.9906,
12/15/2019,118,,,2.9972,,
12/16/2019,30,,,0.762,,
12/17/2019,29,40,,0.7366,1.016,
12/18/2019,28,39,,0.7112,0.9906,
12/19/2019,28,37,,0.7112,0.9398,
12/20/2019,27,142,,0.6858,3.6068,
12/21/2019,27,37,,0.6858,0.9398,
12/22/2019,26,36,,0.6604,0.9144,
12/23/2019,118,,,2.9972,,
12/24/2019,36,,,0.9144,,
12/25/2019,33,43,,0.8382,1.0922,
12/26/2019,32,44,,0.8128,1.1176,
12/27/2019,30,44,,0.762,1.1176,
12/28/2019,30,42,,0.762,1.0668,
12/29/2019,30,41,,0.762,1.0414,
12/30/2019,28,42,,0.7112,1.0668,
12/31/2019,29,39,,0.7366,0.9906,
1/1/2020,28,39,,0.7112,0.9906,
1/2/2020,28,37,,0.7112,0.9398,
1/3/2020,27,37,,0.6858,0.9398,
1/4/2020,27,37,,0.6858,0.9398,
1/5/2020,27,36,,0.6858,0.9144,
1/6/2020,27,36,,0.6858,0.9144,
1/7/2020,27,36,,0.6858,0.9144,
1/8/2020,27,36,,0.6858,0.9144,
1/9/2020,27,35,,0.6858,0.889,
1/10/2020,26,36,,0.6604,0.9144,
1/11/2020,26,36,,0.6604,0.9144,
1/12/2020,26,36,,0.6604,0.9144,
1/13/2020,26,36,,0.6604,0.9144,
1/14/2020,26,36,,0.6604,0.9144,
1/15/2020,25,37,,0.635,0.9398,
